ADM1_NAME,ADM2_NAME,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
New South Wales,Gloucester (A),0.70796007,0.7129072,0.73579234,0.72777116,0.6958772,0.7122793,0.7268116,0.7210086,0.7352972,0.6782196,0.71441877,0.7151441,0.67954767,0.72686976,0.7308905,0.71832514,0.73135656,0.7481489,0.7254032,0.7243957,0.6688373,0.705315,0.71329,0.73611945,0.7087556,0.7219441,0.74006605,0.7315641,0.7430073,0.75509614,0.7201319,0.7130819,0.68968934,0.7404454,0.7142405,0.72413635,0.7087191,0.6421255,0.72862995,0.7495264,0.7538022
New South Wales,Great Lakes (A),0.717008,0.71150464,0.7211793,0.72344625,0.7070219,0.7108486,0.7236745,0.7163634,0.7270132,0.67807597,0.7205255,0.712112,0.6906174,0.7125025,0.717134,0.7191792,0.71925384,0.73719174,0.7178496,0.71989936,0.6902795,0.7063518,0.7167212,0.7270761,0.7087343,0.7221529,0.7317259,0.719917,0.7264757,0.73737437,0.72077715,0.7290596,0.7126331,0.73483026,0.7318627,0.7316682,0.7227391,0.6930425,0.7277501,0.7505061,0.74838376
New South Wales,Greater Taree (C),0.722358,0.72697204,0.7408135,0.74040645,0.7104519,0.72253597,0.73610425,0.7299543,0.7404417,0.684141,0.72331995,0.7219126,0.69039714,0.7344944,0.74085736,0.7321659,0.73527247,0.7562751,0.73057896,0.7279576,0.69005233,0.7202166,0.7276638,0.74304986,0.72105974,0.73679256,0.75061417,0.7411971,0.75034595,0.7614354,0.73613924,0.73627126,0.7171897,0.75403214,0.7374108,0.7448939,0.7346788,0.66416377,0.72954077,0.7527793,0.7603019
New South Wales,Guyra (A),0.5362047,0.61604375,0.6168351,0.5777851,0.54189366,0.59750605,0.60549873,0.58781415,0.60529554,0.5459952,0.57020026,0.5770498,0.5396911,0.5823882,0.61260897,0.5857152,0.6033599,0.61603147,0.57570004,0.61478835,0.5217924,0.593432,0.56781876,0.56471723,0.5789712,0.59753454,0.5917386,0.55837643,0.61472046,0.6381106,0.5927067,0.5810815,0.5441627,0.61780876,0.58770454,0.6352994,0.5400928,0.43705887,0.604294,0.6262603,0.64547664
New South Wales,Hawkesbury (C),0.68407017,0.6844558,0.7076714,0.68567723,0.6882572,0.7017925,0.7052632,0.69700027,0.70820427,0.65597874,0.6943599,0.6878161,0.655915,0.6900119,0.6916427,0.67810655,0.6910011,0.7094036,0.7109455,0.72485566,0.66185915,0.64289427,0.66476625,0.6974767,0.68042785,0.71028936,0.72876143,0.7099728,0.73293895,0.74468225,0.72288954,0.7133138,0.6950916,0.7262807,0.72427577,0.7259621,0.69296163,0.7052892,0.6688893,0.72214335,0.72703785
New South Wales,Inverell (A),0.42645094,0.4940342,0.4997729,0.4481603,0.43465683,0.4779302,0.493031,0.4562085,0.4674423,0.4290826,0.45508236,0.43918395,0.41713265,0.4557136,0.4900896,0.45746028,0.49185696,0.48558742,0.45168817,0.49055925,0.3958754,0.46092346,0.45729035,0.43451113,0.44779664,0.43942615,0.44281775,0.4321665,0.5068661,0.5179514,0.4619024,0.4707963,0.42488605,0.5070406,0.48000592,0.51216525,0.3986796,0.33465385,0.4780019,0.54309046,0.5218724
New South Wales,Kempsey (A),0.71878755,0.73130506,0.73734593,0.73311424,0.708868,0.720758,0.7275159,0.72671205,0.731768,0.68737763,0.7145626,0.7084139,0.6857106,0.72352636,0.73546356,0.72620755,0.72729284,0.74860144,0.72313637,0.72171533,0.66796416,0.70737255,0.7225151,0.7374736,0.72863674,0.7273429,0.7436333,0.73954767,0.7497244,0.75282836,0.7297644,0.7367172,0.70563275,0.7501783,0.7307104,0.7420146,0.736518,0.66702396,0.72762287,0.74442714,0.7575957
New South Wales,Muswellbrook (A),0.5526872,0.57109505,0.61088556,0.56749064,0.55197793,0.585768,0.5979815,0.5802496,0.608215,0.5409786,0.58307004,0.5913491,0.5277256,0.562001,0.5924209,0.5661213,0.60013855,0.5995159,0.6350028,0.61709136,0.5313735,0.57111675,0.57329375,0.5760097,0.524796,0.568654,0.612409,0.57874954,0.63387996,0.6231651,0.59443736,0.5805009,0.5776872,0.61045796,0.61190915,0.5821448,0.5186031,0.53621954,0.5875956,0.63186765,0.64717364
New South Wales,Nambucca (A),0.7586064,0.76980907,0.7723899,0.76770866,0.74833596,0.7592294,0.7626219,0.7614684,0.76847965,0.7403116,0.7556201,0.74624705,0.7302242,0.7589969,0.76970285,0.76151526,0.7599384,0.78312397,0.75741434,0.76401836,0.7099047,0.7501105,0.76353836,0.7708716,0.7666224,0.7561742,0.7788626,0.7764851,0.7858123,0.78977996,0.7736016,0.7814453,0.74933064,0.7886105,0.7694467,0.7820968,0.7763713,0.7440079,0.7747083,0.78694946,0.79826605
New South Wales,Narrabri (A),0.36550584,0.45790276,0.4711749,0.383593,0.39828977,0.43821347,0.46345946,0.43899992,0.4445067,0.4188618,0.4085519,0.42274365,0.36264694,0.42784896,0.45196196,0.429614,0.46663395,0.45688355,0.4497332,0.45320767,0.34959477,0.42167246,0.45024273,0.44331458,0.41654992,0.38207138,0.4220328,0.40767074,0.4812347,0.4551569,0.44719094,0.42181894,0.41304561,0.4422164,0.45305765,0.43441144,0.33810875,0.31535438,0.46307334,0.5012232,0.4864687
