ADM1_NAME,ADM2_NAME,year,fire_events,total_area_ha,max_area_ha,major_fires
New South Wales,Cessnock (C),1998,13,499.86472118999995,143.62527039,0
New South Wales,Cessnock (C),1999,10,648.6286374,536.69925335,0
New South Wales,Cessnock (C),2000,13,973.1437595100001,542.79478971,0
New South Wales,Cessnock (C),2001,27,1349.86659934,575.81468732,0
New South Wales,Cessnock (C),2002,13,2893.93218743,1471.83910192,0
New South Wales,Cessnock (C),2003,7,475.21739378,295.84713579,0
New South Wales,Cessnock (C),2004,2,2.71598599,1.4472336,0
New South Wales,Cessnock (C),2005,3,123.97139932000002,65.8907159,0
New South Wales,Cessnock (C),2006,7,314.67911625,155.58033953,0
New South Wales,Cessnock (C),2007,5,76.16701054,43.90870743,0
New South Wales,Cessnock (C),2008,2,5.46581026,4.25610163,0
New South Wales,Cessnock (C),2009,12,467.45850842000004,174.08289733,0
New South Wales,Cessnock (C),2010,5,212.85253031000002,163.21677883,0
New South Wales,Cessnock (C),2011,11,430.57503159,157.79540554,0
New South Wales,Cessnock (C),2012,11,282.65932667,186.87317467,0
New South Wales,Cessnock (C),2013,23,1477.58252895,954.72199455,0
New South Wales,Cessnock (C),2014,18,4994.3257107399995,2421.15674499,0
New South Wales,Cessnock (C),2015,9,1588.90329058,886.22954918,0
New South Wales,Cessnock (C),2016,31,5869.54160676,1472.69930161,0
New South Wales,Cessnock (C),2017,18,2228.98671078,1061.26826169,0
New South Wales,Cessnock (C),2018,12,1280.28449086,555.84883192,0
New South Wales,Cessnock (C),2019,20,7627.2010132000005,6694.41420164,0
New South Wales,Cessnock (C),2020,2,169.26792201,114.99611482,0
New South Wales,Cessnock (C),2021,5,158.46733694000002,87.26988212,0
New South Wales,Cessnock (C),2023,21,1302.94973392,837.68249426,0
New South Wales,Cessnock (C),2024,7,198.08174608,84.7207493,0
New South Wales,Cessnock (C),2025,13,240.42155068,46.14218594,0
New South Wales,Clarence Valley (A),1964,1,676.50480083,676.50480083,0
New South Wales,Clarence Valley (A),1966,3,136.75666443,66.45817247,0
New South Wales,Clarence Valley (A),1967,1,344.13226808,344.13226808,0
New South Wales,Clarence Valley (A),1968,3,760.03315601,617.63054931,0
New South Wales,Clarence Valley (A),1969,1,14.5542131,14.5542131,0
New South Wales,Clarence Valley (A),1970,1,29.8131856,29.8131856,0
New South Wales,Clarence Valley (A),1971,3,760.85051799,458.15143893,0
New South Wales,Clarence Valley (A),1972,6,1368.22972179,543.87404723,0
New South Wales,Clarence Valley (A),1974,8,670.32337705,271.11944765,0
New South Wales,Clarence Valley (A),1975,5,1061.35162122,629.02382292,0
New South Wales,Clarence Valley (A),1976,9,1439.8532708,791.34658647,0
New South Wales,Clarence Valley (A),1977,13,2145.48175563,1235.72733786,0
