ADM1_NAME,ADM2_NAME,fire_count,total_area_ha,earliest_fire,latest_fire,avg_area_ha_per_fire
Western Australia,Kondinin (S),91,594345.70898835,1975-07-01,2025-12-24,6531.271527344506
Northern Territory,West Arnhem (S),90,350876.2173264105,2020-10-13,2025-08-04,3898.6246369601167
South Australia,Naracoorte and Lucindale (DC),90,23506.823040397863,1970-05-09,2026-01-09,261.18692267108736
Tasmania,Sorell (M),90,31665.40953195,,,351.83788368833336
New South Wales,Gilgandra (A),88,20837.84827734,2004-03-05,2026-04-04,236.79373042431817
Tasmania,Central Coast (M),88,770.10446198,,,8.751187067954545
Victoria,Melton (S),87,35751.30246300896,1983-02-16,2024-12-15,410.9345110690685
Western Australia,Mount Marshall (S),85,106503.92724585,1973-12-31,2025-12-16,1252.9873793629413
Tasmania,Glenorchy (C),84,204458.24255157998,,,2434.0266970426187
New South Wales,Ryde (C),84,525.94069046,2002-08-26,2025-02-24,6.261198695952381
New South Wales,Coonamble (A),83,67556.98646322,2001-11-08,2025-12-11,813.9395959424097
Queensland,Mount Isa (C),83,1475141.945786202,1998-10-20,2026-03-18,17772.794527544604
New South Wales,Goulburn Mulwaree (A),82,60571.15655645,1975-12-20,2026-04-18,738.672640932317
New South Wales,Newcastle (C),82,2336.33079024,2002-09-19,2025-11-17,28.491838905365857
New South Wales,Wakool (A),81,1428.11708008,1948-03-18,2024-11-21,17.63107506271605
New South Wales,Carrathool (A),78,101095.76084567001,1974-11-23,2026-02-06,1296.0994980214105
New South Wales,Cowra (A),78,17782.91740619,1995-11-28,2018-01-01,227.9861205921795
Victoria,Gannawarra (S),78,3219.7792651653062,1998-02-22,2025-01-21,41.279221348273154
South Australia,Playford (C),77,4270.30616124,1975-12-31,2026-04-02,55.45852157454545
Northern Territory,Coomalie (S),76,25048.202344735684,2025-01-01,2025-08-02,329.58160979915374
South Australia,Mount Remarkable (DC),75,67186.50430264001,1984-01-08,2025-11-24,895.8200573685334
New South Wales,Campbelltown (C),74,5653.4062592,1965-01-05,2026-04-13,76.39738188108109
Victoria,Wyndham (C),72,818.5095366393176,2005-04-05,2025-04-10,11.368188008879411
Western Australia,Mandurah (C),71,3376.52940682,1985-09-16,2026-05-04,47.5567522087324
South Australia,Yorke Peninsula (DC),69,28443.96018862,1956-02-22,2026-03-22,412.23130708144924
Western Australia,Canning (C),69,232.25164125,1999-01-01,2026-01-28,3.3659658152173915
New South Wales,The Hills Shire (A),69,2473.3579285,2000-04-01,2019-09-06,35.84576707971014
New South Wales,Greater Hume Shire (A),68,114141.69890939117,2003-05-12,2026-01-16,1678.5543957263408
Northern Territory,Katherine (T),68,7153.969550066932,2025-01-01,2025-07-24,105.20543455980783
Northern Territory,MacDonnell (S),66,2152880.184212339,1972-12-31,2025-07-30,32619.396730489985
South Australia,Clare and Gilbert Valleys (DC),64,4527.41309234,1996-01-18,2026-02-09,70.7408295678125
New South Wales,Bourke (A),64,48777.48201601,1998-12-26,2024-10-24,762.1481565001562
Western Australia,Brookton (S),64,48786.54633595,1956-01-01,2025-12-21,762.2897864992187
New South Wales,Upper Lachlan Shire (A),62,105825.03434938,1999-02-17,2026-04-20,1706.8553927319356
Western Australia,Gnowangerup (S),61,104597.58643785,1983-01-01,2025-12-16,1714.7145317680327
South Australia,Tea Tree Gully (C),58,2112.1392924300003,1983-02-16,2025-04-30,36.416194697068974
South Australia,Cleve (DC),57,137429.74722784,1950-01-31,2025-12-04,2411.048196979649
Western Australia,Three Springs (S),57,33186.13269038,1972-01-01,2024-11-27,582.212854217193
New South Wales,Gunnedah (A),55,16007.22091965,2004-07-02,2026-02-27,291.04038035727274
Queensland,Burke (S),55,1211183.719623919,2002-07-22,2025-10-12,22021.522174980346
South Australia,Kingston (DC),55,47208.43046381,1960-10-03,2026-01-25,858.335099342
Tasmania,Brighton (M),54,578.4001267900001,,,10.711113459074076
Queensland,Murweh (S),52,561503.02408276,1986-07-01,2026-06-04,10798.135078514615
Victoria,Buloke (S),52,5468.798866810947,2000-03-27,2025-04-18,105.16920897713361
New South Wales,Parkes (A),52,35293.44014467,2007-02-13,2026-02-05,678.7200027821153
New South Wales,Manly (A),51,487.79950008000003,1979-12-01,2023-05-29,9.564696080000001
New South Wales,Warren (A),49,33961.63592904,2006-12-28,2025-11-25,693.0946107967347
New South Wales,Kiama (A),49,6989.5246345,1995-05-01,2021-03-08,142.64335988775508
Western Australia,Dalwallinu (S),49,75780.36820957,2001-12-25,2024-11-16,1546.5381267259186
Western Australia,Chapman Valley (S),48,23510.88601211,1992-02-01,2025-12-24,489.8101252522917
South Australia,Elliston (DC),48,62372.31200784,1963-12-02,2025-12-08,1299.4231668300001
New South Wales,Blacktown (C),46,561.39537625,2009-05-02,2025-11-16,12.204247309782609
Victoria,Casey (C),46,320.7510964262604,2000-11-24,2025-06-02,6.972849922310009
Western Australia,Shark Bay (S),45,163809.84757703,1990-05-01,2025-11-11,3640.2188350451115
South Australia,Murray Bridge (RC),45,6645.85189753,1985-02-01,2026-04-24,147.6855977228889
New South Wales,Queanbeyan (C),44,19666.615869079997,1973-12-26,2025-04-03,446.96854247909084
New South Wales,Bankstown (C),43,384.48269686,1985-03-16,2024-09-11,8.941458066511627
Victoria,Knox (C),43,1844.6562370811107,1997-09-24,2025-04-15,42.89898225770025
Queensland,Barcaldine (R),42,212940.36299871,1992-11-01,2026-04-28,5070.0086428264285
South Australia,Light (RegC),41,1247.70512715,2010-01-21,2025-12-14,30.431832369512193
New South Wales,Walgett (A),40,34090.471472619996,2001-12-20,2026-03-20,852.2617868154999
Western Australia,Cuballing (S),39,1921.14985737,1998-01-01,2026-05-18,49.26025275307693
New South Wales,Liverpool (C),38,21589.75243618,1997-12-01,2025-02-21,568.1513798994737
South Australia,Karoonda East Murray (DC),38,4149.3837868499995,1975-02-16,2026-04-16,109.19431018026314
New South Wales,Leeton (A),37,178.36180753,2005-01-16,2026-04-24,4.820589392702702
South Australia,Goyder (DC),37,8474.802370309999,2002-09-19,2026-01-29,229.04871271108104
Tasmania,Burnie (C),35,932.05935316,,,26.630267233142856
Western Australia,Kent (S),35,16421.85324357,2001-01-01,2025-12-15,469.1958069591428
South Australia,Wakefield (DC),33,3533.40196948,2009-11-09,2025-03-09,107.07278695393939
Tasmania,Devonport (C),33,471.94259708000004,,,14.301290820606061
Western Australia,Wongan-Ballidu (S),33,4236.29657284,1960-01-01,2024-12-23,128.37262341939396
New South Wales,Lismore (C),33,12155.54399663,2000-09-06,2025-10-22,368.34981807969695
Western Australia,Mullewa (S),32,20885.96099928,1992-02-01,2025-12-16,652.6862812275
Western Australia,Geraldton-Greenough (C),32,14505.83639808,1992-07-01,2026-03-16,453.30738744
New South Wales,Unincorporated NSW,32,134733.75708193,1984-12-01,2023-09-21,4210.429908810313
Western Australia,Narrogin (S),31,19708.749659579997,1998-01-01,2025-12-23,635.7661180509676
South Australia,Mid Murray (DC),31,33711.946067560006,1995-12-29,2026-01-29,1087.482131211613
Western Australia,Moora (S),31,12170.57273526,1983-01-01,2025-02-27,392.59912049225807
South Australia,Campbelltown (C),30,111.61274642,1976-12-31,2020-10-15,3.7204248806666667
New South Wales,Murrumbidgee (A),29,181365.48816859,1990-11-21,2025-11-10,6253.982350641035
South Australia,Berri and Barmera (DC),29,1714.75697958,1956-08-27,2026-01-29,59.12955102
South Australia,Franklin Harbour (DC),29,37723.60225014,1972-12-31,2024-10-24,1300.8138706944828
Western Australia,Pingelly (S),28,1867.43465352,2004-05-05,2023-12-20,66.69409476857143
New South Wales,Mosman (A),28,64.71111317,1985-03-01,2025-12-01,2.3111111846428574
New South Wales,Liverpool Plains (A),28,4180.04902757,2002-07-02,2026-02-01,149.28746527035716
Queensland,Burdekin (S),28,13316.020713869999,2002-06-08,2024-12-18,475.57216835249994
