ADM1_NAME,ADM2_NAME,year,sightings
New South Wales,Cooma-Monaro (A),2009,18
New South Wales,Cooma-Monaro (A),2010,49
New South Wales,Cooma-Monaro (A),2011,453
New South Wales,Cooma-Monaro (A),2012,67
New South Wales,Cooma-Monaro (A),2013,299
New South Wales,Cooma-Monaro (A),2014,117
New South Wales,Cooma-Monaro (A),2015,26
New South Wales,Cooma-Monaro (A),2016,131
New South Wales,Cooma-Monaro (A),2017,38
New South Wales,Cooma-Monaro (A),2018,96
New South Wales,Cooma-Monaro (A),2019,428
New South Wales,Cooma-Monaro (A),2020,109
New South Wales,Cooma-Monaro (A),2021,129
New South Wales,Cooma-Monaro (A),2022,4169
New South Wales,Cooma-Monaro (A),2023,1299
New South Wales,Cooma-Monaro (A),2024,1164
New South Wales,Cooma-Monaro (A),2025,59
New South Wales,Cooma-Monaro (A),2026,10
New South Wales,Eurobodalla (A),1990,2
New South Wales,Eurobodalla (A),1991,7
New South Wales,Eurobodalla (A),1992,17
New South Wales,Eurobodalla (A),1993,131
New South Wales,Eurobodalla (A),1994,46
New South Wales,Eurobodalla (A),1995,67
New South Wales,Eurobodalla (A),1996,133
New South Wales,Eurobodalla (A),1997,136
New South Wales,Eurobodalla (A),1998,195
New South Wales,Eurobodalla (A),1999,174
New South Wales,Eurobodalla (A),2000,152
New South Wales,Eurobodalla (A),2001,189
New South Wales,Eurobodalla (A),2002,81
New South Wales,Eurobodalla (A),2003,123
New South Wales,Eurobodalla (A),2004,136
New South Wales,Eurobodalla (A),2005,111
New South Wales,Eurobodalla (A),2006,66
New South Wales,Eurobodalla (A),2007,60
New South Wales,Eurobodalla (A),2008,73
New South Wales,Eurobodalla (A),2009,100
New South Wales,Eurobodalla (A),2010,84
New South Wales,Eurobodalla (A),2011,69
New South Wales,Eurobodalla (A),2012,76
New South Wales,Eurobodalla (A),2013,30
New South Wales,Eurobodalla (A),2014,52
New South Wales,Eurobodalla (A),2015,123
New South Wales,Eurobodalla (A),2016,157
New South Wales,Eurobodalla (A),2017,167
New South Wales,Eurobodalla (A),2018,65
New South Wales,Eurobodalla (A),2019,42
New South Wales,Eurobodalla (A),2020,139
New South Wales,Eurobodalla (A),2021,115
New South Wales,Eurobodalla (A),2022,93
New South Wales,Eurobodalla (A),2023,126
New South Wales,Eurobodalla (A),2024,333
New South Wales,Eurobodalla (A),2025,84
New South Wales,Eurobodalla (A),2026,8
New South Wales,Glen Innes Severn (A),1990,11
New South Wales,Glen Innes Severn (A),1991,659
New South Wales,Glen Innes Severn (A),1992,173
New South Wales,Glen Innes Severn (A),1993,11
New South Wales,Glen Innes Severn (A),1994,97
New South Wales,Glen Innes Severn (A),1995,26
New South Wales,Glen Innes Severn (A),1996,16
New South Wales,Glen Innes Severn (A),1997,83
New South Wales,Glen Innes Severn (A),1998,282
New South Wales,Glen Innes Severn (A),1999,112
New South Wales,Glen Innes Severn (A),2000,211
New South Wales,Glen Innes Severn (A),2001,31
New South Wales,Glen Innes Severn (A),2002,36
New South Wales,Glen Innes Severn (A),2003,72
New South Wales,Glen Innes Severn (A),2004,22
New South Wales,Glen Innes Severn (A),2005,3
New South Wales,Glen Innes Severn (A),2006,12
New South Wales,Glen Innes Severn (A),2007,27
New South Wales,Glen Innes Severn (A),2008,7
New South Wales,Glen Innes Severn (A),2009,11
New South Wales,Glen Innes Severn (A),2010,11
New South Wales,Glen Innes Severn (A),2011,17
New South Wales,Glen Innes Severn (A),2012,36
New South Wales,Glen Innes Severn (A),2013,29
New South Wales,Glen Innes Severn (A),2014,10
New South Wales,Glen Innes Severn (A),2015,14
New South Wales,Glen Innes Severn (A),2016,27
New South Wales,Glen Innes Severn (A),2017,6
New South Wales,Glen Innes Severn (A),2018,26
New South Wales,Glen Innes Severn (A),2019,20
New South Wales,Glen Innes Severn (A),2020,23
New South Wales,Glen Innes Severn (A),2021,39
New South Wales,Glen Innes Severn (A),2022,68
New South Wales,Glen Innes Severn (A),2023,109
New South Wales,Glen Innes Severn (A),2024,143
New South Wales,Glen Innes Severn (A),2025,568
New South Wales,Glen Innes Severn (A),2026,171
New South Wales,Gloucester (A),1990,7
New South Wales,Gloucester (A),1991,11
New South Wales,Gloucester (A),1992,510
New South Wales,Gloucester (A),1993,74
New South Wales,Gloucester (A),1994,15
New South Wales,Gloucester (A),1995,7
New South Wales,Gloucester (A),1996,6
New South Wales,Gloucester (A),1997,33
New South Wales,Gloucester (A),1998,38
New South Wales,Gloucester (A),1999,16
New South Wales,Gloucester (A),2000,36
New South Wales,Gloucester (A),2001,127
New South Wales,Gloucester (A),2002,126
New South Wales,Gloucester (A),2003,66
New South Wales,Gloucester (A),2004,48
New South Wales,Gloucester (A),2005,35
New South Wales,Gloucester (A),2006,89
New South Wales,Gloucester (A),2007,165
New South Wales,Gloucester (A),2008,21
